Medicine Name *,Type *,SKU,Strength *,Strength Unit *,Category,Store *,Cost Price *,Selling Price,Opening Stock,Barcode,Batch Number,Manufacturing Date,Expiry Date,Brand,Discount Eligible,Max Discount Type,Max Discount Value
Folic Acid 5mg,tablet,MED-049,5,mg,Dermatology,Main Pharmacy,28,41.72,106,8901100000049,BCH-2026-049,2025-01-22,2027-01-25,Hilton,Yes,percentage,5
Iron Polymaltose 50mg/5ml,syrup,MED-050,50,mg/5ml,Injectables,Main Pharmacy,27.5,43.18,108,8901100000050,BCH-2026-050,2026-02-23,2029-02-26,Sami,No,,
ORS 20.5g,pcs,MED-051,20.5,g,Analgesics,Main Pharmacy,30.5,38.13,10,8901100000051,BCH-2026-051,2025-03-24,2027-03-27,Highnoon,No,,
Calcium Carbonate 500mg,tablet,MED-052,500,mg,Antibiotics,Main Pharmacy,33.5,44.55,12,8901100000052,BCH-2026-052,2026-04-25,2029-04-28,Martin Dow,No,,
Multivitamin 5ml,syrup,MED-053,5,ml,Antihistamines,Main Pharmacy,36.5,51.46,14,8901100000053,BCH-2026-053,2025-05-26,2027-05-28,Pfizer,Yes,percentage,5
Chlorpheniramine 2mg/5ml,syrup,MED-054,2,mg/5ml,Antacids,Main Pharmacy,39.5,58.85,16,8901100000054,BCH-2026-054,2026-06-27,2029-06-28,Novartis,No,,
Dextromethorphan 15mg/5ml,syrup,MED-055,15,mg/5ml,Cardiovascular,Main Pharmacy,42.5,66.73,18,8901100000055,BCH-2026-055,2025-07-01,2027-07-04,Generic,No,,
Ambroxol 30mg/5ml,syrup,MED-056,30,mg/5ml,Diabetes,Main Pharmacy,45.5,56.88,20,8901100000056,BCH-2026-056,2026-08-02,2029-08-05,Getz,No,,
Miconazole 2%,cream,MED-057,2,%,Vitamins,Main Pharmacy,45,59.85,22,8901100000057,BCH-2026-057,2025-09-03,2027-09-06,Searle,Yes,percentage,5
Clotrimazole 1%,cream,MED-058,1,%,Respiratory,Main Pharmacy,48,67.68,24,8901100000058,BCH-2026-058,2026-10-04,2029-10-07,GSK,No,,
Hydrocortisone 1%,ointment,MED-059,1,%,Dermatology,Main Pharmacy,51,75.99,26,8901100000059,BCH-2026-059,2025-11-05,2027-11-08,Abbott,No,,
Betamethasone 0.1%,cream,MED-060,0.1,%,Injectables,Main Pharmacy,54,84.78,28,8901100000060,BCH-2026-060,2026-12-06,2029-12-09,Hilton,No,,
Fusidic Acid 2%,cream,MED-061,2,%,Analgesics,Main Pharmacy,57,71.25,30,8901100000061,BCH-2026-061,2025-01-07,2027-01-10,Sami,Yes,percentage,5
Mupirocin 2%,ointment,MED-062,2,%,Antibiotics,Main Pharmacy,60,79.8,32,8901100000062,BCH-2026-062,2026-02-08,2029-02-11,Highnoon,No,,
Tobramycin 0.3%,drops,MED-063,0.3,%,Antihistamines,Main Pharmacy,63,88.83,34,8901100000063,BCH-2026-063,2025-03-09,2027-03-12,Martin Dow,No,,
Ciprofloxacin Eye 0.3%,drops,MED-064,0.3,%,Antacids,Main Pharmacy,62.5,93.13,36,8901100000064,BCH-2026-064,2026-04-10,2029-04-13,Pfizer,No,,
Artificial Tears 0.5%,drops,MED-065,0.5,%,Cardiovascular,Main Pharmacy,65.5,102.84,38,8901100000065,BCH-2026-065,2025-05-11,2027-05-14,Novartis,Yes,percentage,5
Xylometazoline 0.1%,drops,MED-066,0.1,%,Diabetes,Main Pharmacy,68.5,85.63,40,8901100000066,BCH-2026-066,2026-06-12,2029-06-15,Generic,No,,
Normal Saline 0.9%,injection,MED-067,0.9,%,Vitamins,Main Pharmacy,71.5,95.09,42,8901100000067,BCH-2026-067,2025-07-13,2027-07-16,Getz,No,,
Dextrose 5%,injection,MED-068,5,%,Respiratory,Main Pharmacy,74.5,105.04,44,8901100000068,BCH-2026-068,2026-08-14,2029-08-17,Searle,No,,
Tramadol 50mg,capsule,MED-069,50,mg,Dermatology,Main Pharmacy,77.5,115.47,46,8901100000069,BCH-2026-069,2025-09-15,2027-09-18,GSK,Yes,percentage,5
Codeine 30mg,tablet,MED-070,30,mg,Injectables,Main Pharmacy,80.5,126.39,48,8901100000070,BCH-2026-070,2026-10-16,2029-10-19,Abbott,No,,
Morphine 10mg/ml,injection,MED-071,10,mg/ml,Analgesics,Main Pharmacy,80,100,50,8901100000071,BCH-2026-071,2025-11-17,2027-11-20,Hilton,No,,
Ketorolac 30mg/ml,injection,MED-072,30,mg/ml,Antibiotics,Main Pharmacy,83,110.39,52,8901100000072,BCH-2026-072,2026-12-18,2029-12-21,Sami,No,,
Diclofenac Inj 75mg/ml,injection,MED-073,75,mg/ml,Antihistamines,Main Pharmacy,86,121.26,54,8901100000073,BCH-2026-073,2025-01-19,2027-01-22,Highnoon,Yes,percentage,5
Omeprazole Inj 40mg,injection,MED-074,40,mg,Antacids,Main Pharmacy,89,132.61,56,8901100000074,BCH-2026-074,2026-02-20,2029-02-23,Martin Dow,No,,
Hydrocortisone Inj 100mg,injection,MED-075,100,mg,Cardiovascular,Main Pharmacy,92,144.44,58,8901100000075,BCH-2026-075,2025-03-21,2027-03-24,Pfizer,No,,
Adrenaline 1mg/ml,injection,MED-076,1,mg/ml,Diabetes,Main Pharmacy,95,118.75,60,8901100000076,BCH-2026-076,2026-04-22,2029-04-25,Novartis,No,,
Atropine 1mg/ml,injection,MED-077,1,mg/ml,Vitamins,Main Pharmacy,98,130.34,62,8901100000077,BCH-2026-077,2025-05-23,2027-05-26,Generic,Yes,percentage,5
Nitroglycerin 0.5mg,tablet,MED-078,0.5,mg,Respiratory,Main Pharmacy,97.5,137.47,64,8901100000078,BCH-2026-078,2026-06-24,2029-06-27,Getz,No,,
Isosorbide Mononitrate 20mg,tablet,MED-079,20,mg,Dermatology,Main Pharmacy,100.5,149.75,66,8901100000079,BCH-2026-079,2025-07-25,2027-07-28,Searle,No,,
Digoxin 0.25mg,tablet,MED-080,0.25,mg,Injectables,Main Pharmacy,103.5,162.5,68,8901100000080,BCH-2026-080,2026-08-26,2029-08-28,GSK,No,,
Bisoprolol 5mg,tablet,MED-081,5,mg,Analgesics,Main Pharmacy,6.5,8.13,70,8901100000081,BCH-2026-081,2025-09-27,2027-09-28,Abbott,Yes,percentage,5
Carvedilol 6.25mg,tablet,MED-082,6.25,mg,Antibiotics,Main Pharmacy,9.5,12.64,72,8901100000082,BCH-2026-082,2026-10-01,2029-10-04,Hilton,No,,
Enalapril 5mg,tablet,MED-083,5,mg,Antihistamines,Main Pharmacy,12.5,17.63,74,8901100000083,BCH-2026-083,2025-11-02,2027-11-05,Sami,No,,
Ramipril 5mg,tablet,MED-084,5,mg,Antacids,Main Pharmacy,15.5,23.09,76,8901100000084,BCH-2026-084,2026-12-03,2029-12-06,Highnoon,No,,
Telmisartan 40mg,tablet,MED-085,40,mg,Cardiovascular,Main Pharmacy,15,23.55,78,8901100000085,BCH-2026-085,2025-01-04,2027-01-07,Martin Dow,Yes,percentage,5
Valsartan 80mg,tablet,MED-086,80,mg,Diabetes,Main Pharmacy,18,22.5,80,8901100000086,BCH-2026-086,2026-02-05,2029-02-08,Pfizer,No,,
Rosuvastatin 10mg,tablet,MED-087,10,mg,Vitamins,Main Pharmacy,21,27.93,82,8901100000087,BCH-2026-087,2025-03-06,2027-03-09,Novartis,No,,
Simvastatin 20mg,tablet,MED-088,20,mg,Respiratory,Main Pharmacy,24,33.84,84,8901100000088,BCH-2026-088,2026-04-07,2029-04-10,Generic,No,,
Fenofibrate 200mg,capsule,MED-089,200,mg,Dermatology,Main Pharmacy,27,40.23,86,8901100000089,BCH-2026-089,2025-05-08,2027-05-11,Getz,Yes,percentage,5
Allopurinol 100mg,tablet,MED-090,100,mg,Injectables,Main Pharmacy,30,47.1,88,8901100000090,BCH-2026-090,2026-06-09,2029-06-12,Searle,No,,
Colchicine 0.5mg,tablet,MED-091,0.5,mg,Analgesics,Main Pharmacy,33,41.25,90,8901100000091,BCH-2026-091,2025-07-10,2027-07-13,GSK,No,,
Methotrexate 2.5mg,tablet,MED-092,2.5,mg,Antibiotics,Main Pharmacy,32.5,43.23,92,8901100000092,BCH-2026-092,2026-08-11,2029-08-14,Abbott,No,,
Leflunomide 20mg,tablet,MED-093,20,mg,Antihistamines,Main Pharmacy,35.5,50.05,94,8901100000093,BCH-2026-093,2025-09-12,2027-09-15,Hilton,Yes,percentage,5
Tamsulosin 0.4mg,capsule,MED-094,0.4,mg,Antacids,Main Pharmacy,38.5,57.37,96,8901100000094,BCH-2026-094,2026-10-13,2029-10-16,Sami,No,,
Finasteride 5mg,tablet,MED-095,5,mg,Cardiovascular,Main Pharmacy,41.5,65.16,98,8901100000095,BCH-2026-095,2025-11-14,2027-11-17,Highnoon,No,,
Sildenafil 50mg,tablet,MED-096,50,mg,Diabetes,Main Pharmacy,44.5,55.63,100,8901100000096,BCH-2026-096,2026-12-15,2029-12-18,Martin Dow,No,,
Alprazolam 0.5mg,tablet,MED-097,0.5,mg,Vitamins,Main Pharmacy,47.5,63.18,102,8901100000097,BCH-2026-097,2025-01-16,2027-01-19,Pfizer,Yes,percentage,5
Sertraline 50mg,tablet,MED-098,50,mg,Respiratory,Main Pharmacy,50.5,71.2,104,8901100000098,BCH-2026-098,2026-02-17,2029-02-20,Novartis,No,,
Escitalopram 10mg,tablet,MED-099,10,mg,Dermatology,Main Pharmacy,50,74.5,106,8901100000099,BCH-2026-099,2025-03-18,2027-03-21,Generic,No,,
Quetiapine 25mg,tablet,MED-100,25,mg,Injectables,Main Pharmacy,53,83.21,108,8901100000100,BCH-2026-100,2026-04-19,2029-04-22,Getz,No,,
